1.答案1: 6
2.答案2: 1/6
3.答案3: 2/3
4.答案4: 60
5.答案5: 32
6.答案6: 8′3/5
7.答案7: 32/45
8.答案8: 1′1/2
9.答案9: 0
10.答案10: 1′1/4
11.答案11: 1
12.答案12: 5′1/3
13.答案13: 1′7/9
14.答案14: 87
15.答案15: 1
16.答案16: 0
17.答案17: 1/11
18.答案18: 40
19.答案19: 1
20.答案20: 3
21.答案21: 12′2/3
22.答案22: 4′1/2
23.答案23: 1′3/8
24.答案24: 2′1/2
25.答案25: 13
26.答案26: 1′7/8
27.答案27: 3
28.答案28: 7′1/2
29.答案29: 2
30.答案30: 1′1/4
31.答案31: 4′4/5
32.答案32: 1/5
33.答案33: 1
34.答案34: 1′1/7
35.答案35: 8/45
36.答案36: 2
37.答案37: 3
38.答案38: 3
39.答案39: 0
40.答案40: 1′1/2
41.答案41: 3′3/4
42.答案42: 1′5/56
43.答案43: 1′13/27
44.答案44: 7/120
45.答案45: 0
46.答案46: 5′3/5
47.答案47: 3
48.答案48: 0
49.答案49: 0
50.答案50: 12
